ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-09-24 05:04:00+00:00,33,1,294973,6720.75,6721.0,6720.75,6720.75,17,ESZ5
2025-09-24 05:05:00+00:00,33,1,294973,6720.5,6720.5,6720.25,6720.25,68,ESZ5
2025-09-24 05:06:00+00:00,33,1,294973,6720.0,6720.0,6719.75,6719.75,35,ESZ5
2025-09-24 05:07:00+00:00,33,1,294973,6719.75,6719.75,6719.5,6719.75,26,ESZ5
2025-09-24 05:08:00+00:00,33,1,294973,6720.0,6720.25,6720.0,6720.25,35,ESZ5
2025-09-24 05:09:00+00:00,33,1,294973,6720.25,6720.25,6720.0,6720.25,15,ESZ5
2025-09-24 05:10:00+00:00,33,1,294973,6720.25,6720.5,6720.0,6720.25,71,ESZ5
2025-09-24 05:11:00+00:00,33,1,294973,6720.5,6720.75,6720.25,6720.25,55,ESZ5
2025-09-24 05:12:00+00:00,33,1,294973,6720.25,6721.0,6720.25,6721.0,90,ESZ5
2025-09-24 05:13:00+00:00,33,1,294973,6721.25,6721.5,6721.0,6721.0,94,ESZ5
2025-09-24 05:14:00+00:00,33,1,294973,6721.0,6721.0,6720.75,6721.0,28,ESZ5
2025-09-24 05:15:00+00:00,33,1,294973,6721.0,6721.25,6720.75,6721.0,66,ESZ5
2025-09-24 05:16:00+00:00,33,1,294973,6721.0,6721.0,6720.75,6720.75,26,ESZ5
2025-09-24 05:17:00+00:00,33,1,294973,6721.0,6721.0,6720.5,6720.5,43,ESZ5
2025-09-24 05:18:00+00:00,33,1,294973,6720.5,6721.0,6720.25,6721.0,48,ESZ5
2025-09-24 05:19:00+00:00,33,1,294973,6721.25,6721.25,6721.0,6721.25,54,ESZ5
2025-09-24 05:20:00+00:00,33,1,294973,6721.25,6721.5,6721.0,6721.0,37,ESZ5
2025-09-24 05:21:00+00:00,33,1,294973,6721.25,6721.25,6721.0,6721.25,46,ESZ5
2025-09-24 05:22:00+00:00,33,1,294973,6721.25,6721.5,6721.0,6721.25,27,ESZ5
2025-09-24 05:23:00+00:00,33,1,294973,6721.25,6721.5,6721.25,6721.25,39,ESZ5
2025-09-24 05:24:00+00:00,33,1,294973,6721.25,6721.5,6721.25,6721.5,29,ESZ5
2025-09-24 05:25:00+00:00,33,1,294973,6721.5,6721.75,6721.5,6721.75,8,ESZ5
2025-09-24 05:26:00+00:00,33,1,294973,6721.75,6721.75,6721.25,6721.75,103,ESZ5
